mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.495945771387014,10,0.00487271551484819,Preprocessor1_Model01
3,5,rsq,standard,0.992281967667456,10,0.000128361670362704,Preprocessor1_Model01
4,5,rmse,standard,0.263088703823612,10,0.00517537397542719,Preprocessor1_Model02
4,5,rsq,standard,0.997616527071457,10,7.61344594778642e-05,Preprocessor1_Model02
5,5,rmse,standard,0.160169121075381,10,0.00282274777696096,Preprocessor1_Model03
5,5,rsq,standard,0.99907783364125,10,3.08665393575209e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0753497762803422,10,0.00126579067796808,Preprocessor1_Model04
7,5,rsq,standard,0.999789852123605,10,7.4400465969379e-06,Preprocessor1_Model04
3,6,rmse,standard,0.491688995267254,10,0.00900914775428916,Preprocessor1_Model05
3,6,rsq,standard,0.992439585140418,10,0.000228496115315031,Preprocessor1_Model05
4,6,rmse,standard,0.267671483818563,10,0.00347413584006388,Preprocessor1_Model06
4,6,rsq,standard,0.997552909101748,10,5.13020853643734e-05,Preprocessor1_Model06
5,6,rmse,standard,0.163170197037655,10,0.00243582067712303,Preprocessor1_Model07
5,6,rsq,standard,0.999044045391633,10,2.39343677062366e-05,Preprocessor1_Model07
7,6,rmse,standard,0.0804778284594755,10,0.00106938613526397,Preprocessor1_Model08
7,6,rsq,standard,0.999760566289345,10,7.87357393981386e-06,Preprocessor1_Model08
3,7,rmse,standard,0.506490221141251,10,0.00797099164386852,Preprocessor1_Model09
3,7,rsq,standard,0.992008392803986,10,0.000196789046586101,Preprocessor1_Model09
4,7,rmse,standard,0.271667423467917,10,0.00537099424986957,Preprocessor1_Model10
4,7,rsq,standard,0.997464175377803,10,7.96340454014111e-05,Preprocessor1_Model10
5,7,rmse,standard,0.167161690472126,10,0.00266773410960708,Preprocessor1_Model11
5,7,rsq,standard,0.998995423768168,10,3.08546930122363e-05,Preprocessor1_Model11
7,7,rmse,standard,0.0843269258289653,10,0.000775355520021135,Preprocessor1_Model12
7,7,rsq,standard,0.999738035640662,10,4.39605825300453e-06,Preprocessor1_Model12
3,8,rmse,standard,0.498993281735898,10,0.00449316301068084,Preprocessor1_Model13
3,8,rsq,standard,0.992153315246809,10,0.000130601879274967,Preprocessor1_Model13
4,8,rmse,standard,0.271285629452111,10,0.00407697013616426,Preprocessor1_Model14
4,8,rsq,standard,0.997476395801516,10,6.46357560880389e-05,Preprocessor1_Model14
5,8,rmse,standard,0.170954565633325,10,0.002915134739876,Preprocessor1_Model15
5,8,rsq,standard,0.998951007115733,10,3.43233533110355e-05,Preprocessor1_Model15
7,8,rmse,standard,0.0884293110092088,10,0.00141074096034304,Preprocessor1_Model16
7,8,rsq,standard,0.999711793939065,10,8.79582805013891e-06,Preprocessor1_Model16
